fy,title,title_url,original_solicitation,original_solicitation_url,recipient,state,award_number,amount,status
2023,Democratizing investigative genetic genealogy,https://nij.ojp.gov/funding/awards/15pnij-23-gg-04213-dnax,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171606,THE UNIVERSITY OF NORTH TEXAS HEALTH SCIENCE CENTER AT FORT WORTH,TX,15PNIJ-23-GG-04213-DNAX,"$759,008",Open
2023,Developing a Portable and Fast Opioid Assessment Tool for Improved Field Decision-Making,https://nij.ojp.gov/funding/awards/15pnij-23-gg-04225-ress,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171606,OAKLAND UNIVERSITY,MI,15PNIJ-23-GG-04225-RESS,"$308,002",Open
2023,Developing a Strategy to Evaluate Urban Violence Prevention and Intervention Ecosystems: A Case Study of Boston,https://nij.ojp.gov/funding/awards/15pnij-23-gg-04266-cvip,"NIJ FY23 Community-Based Violence Intervention and Prevention Initiative (CVIPI) Research, Evaluation, and Associated Training & Technical Assistance Support",https://nij.ojp.gov/funding/opportunities/o-nij-2023-171648,AMERICAN INSTITUTES FOR RESEARCH IN THE BEHAVIORAL SCIENCES,VA,15PNIJ-23-GG-04266-CVIP,"$983,482",Open
2023,Developing and Validating Standards for Dental Cementum Age-at-Death and Season-of-Death Estimation,https://nij.ojp.gov/funding/awards/15pnij-23-gg-04229-slfo,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171606,THE UNIVERSITY OF TEXAS RIO GRANDE VALLEY,TX,15PNIJ-23-GG-04229-SLFO,"$467,325",Open
2023,Development of a colorimetric breath analyzer for THC,https://nij.ojp.gov/funding/awards/15pnij-22-gg-04437-ress/1,NIJ FY 2023 Invited to Apply - Funding to Support the Research and Development in Forensic Science for Criminal Justice Purposes Program,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171847,VIRGINIA COMMONWEALTH UNIVERSITY,VA,15PNIJ-22-GG-04437-RESS,"$245,592",Past Project Period End Date
2023,Development of a Stable Matrix-Matched Standard for Molecular and Elemental Analysis of Hair in Forensic Toxicology,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01945-ress,NIJ FY23 Graduate Research Fellowship,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171521,THE UNIVERSITY OF CENTRAL FLORIDA BOARD OF TRUSTEES,FL,15PNIJ-23-GG-01945-RESS,"$110,966",Open
2023,Development of computational methods for genetic identification and kinship analysis of forensic samples,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01948-ress,NIJ FY23 Graduate Research Fellowship,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171521,UNIVERSITY OF CALIFORNIA SANTA CRUZ,CA,15PNIJ-23-GG-01948-RESS,"$111,000",Open
2023,Developmental Validation of a Novel Multi-analyte Recovery Method for Trace Biological Samples,https://nij.ojp.gov/funding/awards/15pnij-23-gg-04207-dnax,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171606,WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION,WV,15PNIJ-23-GG-04207-DNAX,"$494,268",Open
2023,Domestic Terrorism Targeting America’s Political Elites,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01385-domr,NIJ FY23 Research and Evaluation on Domestic Radicalization and Violent Extremism,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171569,UNIVERSITY OF ILLINOIS,IL,15PNIJ-23-GG-01385-DOMR,"$751,254",Open
2023,Elder Abuse Survivor Equity (EASE) Study: National Longitudinal Trajectories and Translation for Practitioners and the Public,https://nij.ojp.gov/funding/awards/15pnij-23-gg-02625-mumu,"NIJ FY23 Research on the Abuse, Neglect, and Financial Exploitation of Older Adults",https://nij.ojp.gov/funding/opportunities/o-nij-2023-171526,NATIONAL OPINION RESEARCH CENTER,IL,15PNIJ-23-GG-02625-MUMU,"$1,499,885",Open
